Artist,Name,Year ,Popularity,genre,lyrics
KAILASH KHER,Teri Deewani Lyrics,2006,100,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Preet ki lath mohe aaisi laagi
ho gayi main matwaali
bal bal jaaun apane piya ko
he main jaaun vaari vaari,Mohe sudh budh naa rahi tan mann ki
yeh toh jaane duniya saari
bebas aur laachar phiru main
haari main dil haari,haari main dil haari,Tere naam se jee loon
tere naam se marr jaaun
tere naam se jee loon
tere naam se marr jaaun
teri jaan ke sadke mein kuchh aaisa kar jaaun
tune kya kar dala marr gayi main mitt gayi main
ho ri ha ri ho gayi main
teri deewani deewani
teri deewani deewani
tune kya kar dala marr gayi main mitt gayi main
ho gee ha gee ho gayi main,teri deewani deewani
teri deewani deewani,Ishq junoon jab hadh se badh jaaye
Ishq junoon jab hadh se badh jaaye
haste haste aashiq suli chadh jaaye
ishq ka jaadu sara chadha kara bole
ishq ka jaadu sara chadha kara bole
khoob laga lo pehre raste rab khole
yahi ishq di marzi hain
yahi rab di marzi hain
yahi ishq di marzi hain
yahi rab di marzi hain
tere bin jeena kaisa
haan khudgarzi hai
tune kya kar dala marr gayi main mitt gayi main
ho ri ha ri ho gayi main
teri deewani deewani,teri deewani deewani,teri deewani deewani
teri deewani deewani,he main rang rangeeli deewani,He main rang rangeeli deewani
ke main albeli main mastani
gaaun bajaaun sabko rijhaaun
he main deen dhram se begaani
ke main deewani main deewani
tere naam se jee loon tere naam se marr jaaun
tere jaan ke sadle mein kuchh aaisa kar jaaun
tune kya kar dala marr gayi main mitt gayi main
ho ri ha ri ho gayi main
teri deewani deewani
teri deewani deewani
teri deewani deewani
teri deewani deewani..."
KAILASH KHER,Saiyyan Lyrics,2007,95.2931639,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Heere moti main na chaahoo
Main toh chaaho sangam tera
Main toh teri saiyyan
Tu hai mera, saiyyan, saiyyan,Tu jo chhoo le pyaar se
Aaraam se mar jau
Aaja chanda bahoo mein
Tujh mein hi gum ho jau
Main tere naam mein kho jau
Saiyyan... saiyyan,Mere din khushi se jhoome gaaye raate
Pal pal mujhe dubaaye jaate jaate
Tujhe jeet jeet haaroo yeh praan praan varoo
Hay aise main nihaaroo teri aartee utaaroo
Tere naam se jude hai saare naate, saiyyan, saiyyan,Banke maala prem ki
Tere tan pe jhar jhar jaaoo
Baithoo naiya preet ki
Sansaar se thar jaaoo
Tere pyaar se tar jaaoo
Saiyyan, saiyyan,Yeh naram naram nasha hai, badhtajaaye
Koi pyaar se ghungatiya deta udaaye
Ab baawra hua mann jag ho gaya hai roshan
Yeh nayee nayee suhaagan ho gayee hia teri jogan,Koi prem ki pujaarun mandir sajaaye
Saiyyan, saiyyan
Heere moti main na chaahoo
Main toh chaahoo samgam tera,Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
Main toh teri, tu hai mera"
KAILASH KHER,Allah Ke Bande Lyrics,2015,79.64551378,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Toota toota ek parinda aise toota
Ke phir jud naa paaya
Loota loota kisne usko aise loota
Ke phir ud naa paaya
Girta hua woh asma se
Aakar gira zameen par
Khwabon mein phir bhi badal hi the,Woh kehta raha magar
Ke allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde,Jo bhi ho kal phir aayega
Toota toota ek parinda aise toota
Ke phir jud naa paaya,Loota loota kisne usko aise loota
Ke phir ud naa paaya
Girta hua woh asma se
Aakar gira zameen par
Khwabon mein phir bhi badal hi the,Woh kehta raha magar,Ke Allah ke bande hasde,Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
...Aalap...
Kho ke aapne par hi to usne tha ud naa sikha
Kho ke aapne par hi to o o o
Kho ke aapne par hi to usne tha ud naa sikha
Gham ko aapne saath mein lele dard bhi tere kaam aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
...Aalap...
Tukde tuke ho gaya tha har sapna jab woh toota
Tukde tuke ho gaya tha aa aaa aa
Tukde tuke ho gaya tha har sapna jab woh toota
Bikhre tukdon mein allah ki marzi ka manzar paayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Allah ke bande
Allah ke bande hasde
Jo bhi ho kal phir aayega
Allah ke bande hasde
Jo bhi ho kal phir aayega"
KAILASH KHER,Jay-Jaykara Lyrics,2017,77.76245822,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Kya kabhi ambar se
Surya bichhadta hai
Kya kabhi bin baati
Deepak jalta hai -x2.,Kaisi hai ye anhoni
Har aankh huyi nam
Chhod gaya jo tu
Kaise jiyenge hum,,Tuhi kinara, tuhi sahara
Tu jag sara, tuhi humara sooraj tuhi taara.,Jai jaikara, jai jaikara
Swami dena saath humara -x2.,Jahan-jahan tere paaon padey
Woh dharti ambar ho jaye,,Jaane ye kaise maya
Maya hai teri.,Tu nirbal chaabal hai
Swami rakhwala hum sab ka
Usko kya hai darr hai
Jispe chhaya hai teri.,Kan-kan mein hai khush'haali
Jhoome hai daali daali
Hum pyason pe jo rim-jhim barse
Hai baadal se
Tuhi woh amrit ki dhaara.,Jay jaykara, Jay jaykara Swaami dena saath hamara -x2."
KAILASH KHER,AAJ MERE PIYA GHAR AAVENGE Lyrics,2013,73.62483823,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Chokh Puraavo
Maati Rangaavo
Aaj Mere Piya Ghar Aavengey
Aaj Mere Piya Ghar Aavengey,Khabar Sunaaun Jo
Khushi Reh Bataaun Jo
Aaj Mere Piya Ghar Aavengey
Aaj Mere Piya Ghar Aavengey,Heri Sakhi Mangal Gaao Ree
Dharti Ambar Sajaao Ree
Utregi Aaj Mere Pee Ki Sawaari
Har Koi Kaajal Laau Ree
Mohey Kaala Tika Lagaao Ree
Unki Chhab Se Dikhu Main To Pyaari
Lachhmi Ji Vaaro
Nazar Utaaro
Aaj Mere Piya Ghar Aavenge
Aaj Mere Piya Ghar Aavenge,Rangon Se Rang Miley
Naye Naye Dhang Khiley
Khushi Aaj Dwaar Mere Daaley Hai Dera
Peehu Peehu Papiha Ratey
Kuhu Kuhu Koyal Japey
Aangan Aagan Hai Pariyon Ne Ghera
Anhad Naad Bajaao Sab Mil
Aaj Mere Piya Ghar Aavenge
Aaj Mere Piya Ghar Aavenge,Anhad Naad Bajaari Sab Mil
Anhad Naad Bajaari Sab Mil
Anhad Naad Bajaari Sab Mil,ANHAT NAAD
BAJAAO RI SAB MIL"
KAILASH KHER,Tu Meri Jaan Hai Lyrics,2007,62.14350938,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","ni main shagun manaava
ni main deva duwava...(2)
Bhaavein kamlee naam dharava
par ikkoi ratan lagaava,tu meri jaan hai
tu mera armaan hai...(2),duniya ko bhool jaaoo main tere pyaar mein(2)
tu nahi toh aag lage is sansaar mein
tenu dil da haal sunaava
Bhaavein kamlee naam dharava
par ikkoi ratan lagaava,tu meri jaan hai
tu mera armaan hai...(2),rabba mere pyaar ko nazar lag jaaye na(2)
mangiya duwava lakha
dukh hun sataave na
tenu dil da haal sunaava
ni main lakh lakh shukr manaava
Bhaavein kamlee naam dhadava
par ikkoi ratan lagaava,tu meri jaan hai
tu mera armaan hai...(2),ni main shagun manaava
ni main deva duwava...(2)
Bhaavein kamlee naam dhadava
par ikkoi ratan lagaava,tu meri jaan hai
tu mera armaan hai...(2)"
KAILASH KHER,Mumma Lyrics,2018,56.25879637,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Maa... Meri Maa.
Pyaari Maa... Mamaa
hoo
Maa... Meri Maa.
Pyaari Maa... Mamaa,Haatho ki lakerien badal jayengi
Gum ki yeh zanjeerein Peeghal jayengi
Ho khuda pe bhi aasar
Tu duaon ka hai ghar,Meri Maa.Meri Maa.
Pyaari Maa... Mammaa
hoo,Maa... Meri Maa.
Pyaari Maa... Mammaa,Begdi kismat bhi sawanr jaayegi
Zindagi tarane khushi ke gayegi
Tere hote kiska dar
Tu duawon ka hai ghar,Meri Maa.Meri Maa.
Pyaari Maa... Mammaa
hoo
Maa... Meri Maa.
Pyaari Maa... Mammaa,Yun tu mein
Sab se nyara hoon
Tera maaa mein dulara hoon,Yun tu mein
Sab se nyara hoon
Tera maaa mein dulara hoon,Duniya mein jeene se jyada uljhan hai maaa
Tu hai amar ka jahan,Tu gussa karti hai
Bada accha lagta hai
Tu kaan pakadti hai
Badi zor se lagta hai
Meri Maa,Meri Maa.Meri Maa.
Pyaari Maa... Mammaa
hoo
Maa... Meri Maa.
Pyaari Maa... Mammaa
Haatho ki lakerien badal jayengi
Gum ki yeh zanjeerein Peeghal jayengi
Ho khuda pe bhi aasar
Tu duawon ka hai ghar
Meri Maa.Meri Maa.
Pyaari Maa... Mammaa
hoo
Maa... Meri Maa.
Pyaari Maa... Mammaa"
KAILASH KHER,Chand Sifarish Lyrics,2013,54.68964161,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","ihhi Hmm hmm hmm... la la la...
Hey hey hey... aah ha...
Subhan allah, subhan allah, subhan allah - (2)
Valle valle, valle valle, valle valle
Chand sifarish jo karta hamaree deta woh tumko bata
Sharmo haya pe parde gira ke, karnee hain hamko khata
Jidd hain abb toh hain khud ko mitana, hona hain tujhme fanaa
Chand sifarish jo karta hamaree deta woh tumko bata
Sharmo haya pe parde gira ke, karnee hain hamko khata,Valle valle, valle valle
Teree ada bhee hain jhonkewalee chhu ke gujar jane de
Teree lachak hain ke jaise dalee dil me utar jane de
Aaja bahon me karke bahana hona hain tujhme fanaa
Chand sifarish jo karta hamaree deta woh tumko bata
Sharmo haya pe parde gira ke karnee hain hamko khata,Subhan allah, subhan allah, subhan allah - (2)
Hain jo iraden bata du tumko sharma hee jaogee tum
Dhadkane jo sunahain khud ko mitana hona hain tujhme fana"
KAILASH KHER,Kaun Hain Voh Lyrics,2017,53.13646403,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Jattaa Kattaaha Sambhrama Bhraman Nilimpa Nirjharii,Vilola Viici Vallarii Viraajamaana Muurdhani,Dhagad Dhagad Dhagaj Jvalal Lalaatta Patttta Paavake,Kishora Candra Shekhare Ratih Pratikssannam Mama
(Music Interval),कौन...? है वो, कौन.? है वो,
कहां से वो, आया.
चारो दिशाओं मे, तेज सा वो छाया,
उसकी भुजाऐ बदले, कथाऐ.
भागीरथ तेरी तरफ, शिवजी चलें
देखे जरा ये विचित्र, माया...!!:-D,(Music Interval)
Dhara Dharendra Nandni Vilaasa Bandhu Bandhuras,Phuradru Gandh Ta Santatip Parmodamana Maana.sey,Kripa Kataksha Dhorni Niruddha Duddha Dharapari
Kuachithi Jambharey Manohvinod Mai Tu Vastuni.,Jatta Bhujanga Pingaras
Bhurat Badamanipravah,Gadham Kumkummadhrava
Parili Gadhi Vadhupukey,Madaandsindhu Raspurat
Vaguptari Amidhurey,Manovinod Manbhutam
Vibbhatt Bhutho Vardari.
(Music Interval),कौन...? है वो, कौन.? है वो,
कहां से वो, आया.
चारो दिशाओं मे, तेज सा वो छाया,
उसकी भुजाऐ बदले, कथाऐ.
भागीरथ तेरी तरफ, शिवजी चलें
देखे जरा ये विचित्र, माया...!!:-D"
KAILASH KHER,Tu Jaane Na Lyrics,2011,51.64007239,"""tag"",""Pop"").setTargeting(""cid"",""278579753"").setTargeting(""artist"",""kailashkher"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Kaise bataye kyun tujhko chahe
Yaara bata na paaye
Baatein dilon ki dekho zuban
ki aankhe tujhe samjhayen
Tu jaane na
Tu jaane na,Tu jaane na,Tu jaane na,Mil ke bhi
hum na mile
Tumse na jane kyun
Milon ki hai fasle
Tumse hai jaane kyun
Anjane hain silsile
Tum se na jaane kyun,Sapne hai palkon tale
Tum se na jaane kyun,Kaise bataye kyun tujhko chahe
Yaara bata na paaye
Baatein dilon ki dekho zuban,ki aankhe tujhe samjhayen
Tu jaane na,Tu jaane na,Tu jaane na
Tu jaane na,Nigahon mein dekho meri Jo har bas gaya
Woh hai milta tumse hoo bahu
ooo Jane teri aankhen thi ua
ya baatein thi wajah
Huye tum jo dil ki arzooo
Tum paas ho ke bhi
Tum aas ho ke bhi
ehsaaas ho ke bhi
Apne nahi
Aise hai apne gile
Tum se na jane kyun
Milon ki hai fasle
Tumse hai jaane kyun
Tu jaane na
Tu jaane na
Tu jaane na
Tu jaane na
Khayalon mein lakhon batein
Yun keh gaya
Bol kuch na tere samne
Ohohoh
huye na begane bhi tum
Ho ke Aur ke
Dekho tum mere hi bane
Afsoos hota
Dil bhi yeh rota hai
Sapne sanjota hai
Pagla hua soche yeh
hum the mil
Tum se na jane kyun
Aise hai apne gile
Tum se na jane kyun
Milon ki hai fasle
Tumse hai jaane kyun
Tu jaane na
Tu jaane na
Tu jaane na
Tu jaane na
Milon ki hai fasle
Tumse hai jaane kyun
Anjane hain silsile
Tum se na jaane kyun
Sapne hai palkon tale
Tum se na jaane kyun
Ohohoh
Kaise bataye kyun tujhko chahe
Yaara bata na paaye
Baatein dilon ki dekho zuban
ki aankhe tujhe samjhayen
Tu jaane na
Tu jaane na
Tu jaane na
Tu jaane na"
