Artist,Name,Year ,Popularity,genre,lyrics
Frank Sinatra,That's Life Lyrics,1991,70.16604524,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","That's life (that's life), that's what all the people say
You're ridin' high in April, shot down in May
But I know I'm gonna change that tune
When I'm back on top, back on top in June,I said that's life (that's life), and as funny as it may seem
Some people get their kicks stompin' on a dream
But I don't let it, let it get me down
'cause this fine old world, it keeps spinnin' around,I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out and I know one thing
Each time I find myself flat on my face
I pick myself up and get back in the race,That's life (that's life), I tell you I can't deny it
I thought of quitting, baby, but my heart just ain't gonna buy it
And if I didn't think it was worth one single try
I'd jump right on a big bird and then I'd fly,I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out and I know one thing
Each time I find myself layin' flat on my face
I just pick myself up and get back in the race,That's life (that's life), that's life and I can't deny it
Many times I thought of cuttin' out but my heart won't buy it
But if there's nothin' shakin' come this here July
I'm gonna roll myself up in a big ball a-and die,My, my!"
Frank Sinatra,Have Yourself a Merry Little Christmas Lyrics,2014,69.44763689,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Have yourself a merry little Christmas
Let your heart be light
From now on, all our troubles will be out of sight,Have yourself a merry little Christmas
Make the yule-tide gay
From now on, our troubles will be miles away,Here were are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more,Through the years we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now,Here we are as in olden days
Happy golden days Of yore
Faithful friends who are dear to us
Gather near to us once more,Through the years we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Merry Christmas, Merry Christmas..."
Frank Sinatra,The Lady Is A Tramp Lyrics,1974,68.1300133,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","She gets too hungry for dinner at eight
She likes the theatre and never comes late
She never bothers with people she'd hate
That's why the lady is a tramp,Doesn't like crap games with barons or earls
Won't go to Harlem in ermine and pearls
Won't dish the dirt with the rest of the girls
That's why the lady is a tramp,She likes the free, fresh wind in her hair
Life without care
She's broke, and it's ""ok"",Hates California, it's cold and it's damp
That's why the lady is a tramp,She gets too hungry to wait for dinner at eight
She loves the theatre but never comes late
She'd never bother with people she'd hate
That's why the lady is a tramp,She'll have no crap games with sharpies and frauds
And she won't go to Harlem in Lincolns or Fords
And she won't dish the dirt with the rest of the broads
That's why the lady is a tramp,She'd love the free, fresh wind in her hair
Life without care
She's broke, but it's *""ok""*,Hates California, it's so cold and so damp
That's why the lady
That's why the lady
That's why the lady is a tramp"
Frank Sinatra,If You Go Away Lyrics,2006,66.29951498,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","If you go away on this summer day,
Then you might as well take the sun away;
All the birds that flew in the summer sky,
When our love was new and our hearts were high;
When the day was young and the night was long,
And the moon stood still for the night bird's song.
If you go away, if you go away, if you go away.
But if you stay, I'll make you a day
Like no day has been, or will be again;
We'll sail the sun, we'll ride on the rain,
We'll talk to the trees and worship the wind.
Then if you go, I'll understand,
Leave me just enough love to fill up my hand,
If you go away, if you go away, if you go away.
If you go, as I know you will, you must tell the world to stop turning
Till you return again, if you ever do, for what good is love without loving you,
Can I tell you now, as you turn to go, I'll be dying slowly till the next hello,
If you go away, if you go away, if you go away.
But if you stay, I'll make you a night
Like no night has been, or will be again.
I'll sail on your smile, I'll ride on your touch,
I'll talk to your eyes that I love so much.
But if you go, go, I won't cry,
Though the good is gone from the word goodbye,
If you go away, if you go away, if you go away.
If you go away, as I know you must,
There'll be nothing left in the world to trust,
Just an empty room, full of empty space,
Like the empty look I see on your face.
I'd have been the shadow of your shadow
If I thought it might have kept me by your side.
If you go away, if you go away, if you go away."
Frank Sinatra,Girl from Ipanema Lyrics,2014,64.92308934,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Tall and tan and young and lovely, the girl from Ipanema goes walking
And when she passes, each one she passes goes - ah
When she walks, she's like a samba that swings so cool and sways so gentle
That when she passes, each one she passes goes - ooh
(Ooh) But I watch her so sadly, how can I tell her I love her
Yes I would give my heart gladly,
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall, and tan, and young, and lovely, the girl from Ipanema goes walking
And when she passes, I smile - but she doesn't see (doesn't see)
(She just doesn't see, she never sees me,...),Olha que coisa mais linda mais cheia de graça
É ela, menina, que vem e que passa
Num doce balanço a caminho do mar
Moça do corpo dourado do sol de Ipanema
O seu balançado parece um poema
É a coisa mais linda que eu já vi passar,(Ooh) But I watch her so sadly
(Aah) Por que tudo eh tao triste?
Yes I would give my heart gladly,
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall, tan, young, lovely, the girl from Ipanema goes walking
And when she passes, I smile - but she doesn't see (doesn't see)
(She just doesn't see, she never sees me,...),Por causa do amor...
She just doesn't see...
Nem olha para mim...
She never sees me...
Por causa do amor"
Frank Sinatra,Sunflower Lyrics,2008,64.71434797,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","She's a sunflower, she's my one flower,
She's the flower of my heart.
I was born in Kansas, Iowa, bred in Kansas,
And when I get married, I'll be wed in Kansas
There's a true-blue gal who promised she would wait,
She's a sunflower from the Sunflower State.
She's a sunflower, she's my sunflower,
And I'll know we'll never part,
She's a sunflower, she's my one flower,
She's the flower of my heart.,Troubles end in Kansas, folks unbend in Kansas,
Everyone you'll meet will be your friend in Kansas,
And they'll all be there to help me celebrate
With my sunflower from the Sunflower State.
She's a sunflower, she's my sunflower,
And I'll know we'll never part,
She's a sunflower, she's my one flower,
She's the flower of my heart.
Oh the moon is brighter and stars are bluer,
And the gals are sweeter and their hearts are truer,
And I'm here to take, there's one who's really great,
She's that sunflower from the Sunflower State.
She's a sunflower, she's my sunflower,
And I'm sure we'll never part,
She's a sunflower, she's my one flower,
She's the flower of my heart."
Frank Sinatra,Come Fly With Me Lyrics,1997,63.84515197,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Come fly with me, let's fly, let's fly away
If you could use some exotic booze
There's a bar in far Bombay
Come fly with me, let's fly, let's fly away,Come fly with me, let's float down to Peru
In llama-land there's a one-man band
And he'll toot his flute for you
Come on fly with me, let's take off in the blue,Once I get you up there
Where the air is rarefied
We'll just glide
Starry-eyed
Once I get you up there
I'll be holding you so near
You may hear
all Angels cheer, 'cause we're together,Weather-wise, it's such a lovely day
Just say the words and we'll beat the birds
Back to Acapulco Bay
It is perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly away
Once I get you up there
Where the air is rarefied
We'll just glide
Starry-eyed
Once I get you up there
I'll be holding you so very near
You mite even hear
a hole gang cheer, 'cause we're together,Weather-wise, it's such a Co co day
If you say those words, and we'll take the t birds
Back to Acapulco Bay
It is perfect for a flying honeymoon, they babe
Come fly with me, let's fly
Pack up, let's fly away"
Frank Sinatra,Besame Mucho Lyrics,2013,63.5040481,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Besame, besame mucho,
Each time I cling to your kiss, I hear music divine,
Besame mucho,
Hold me my darling and say that you'll always be mine.
This joy is something new, my arms enfolding you,
Never knew this thrill before.
Whoever thought I'll be holding you close to me,
Whispering it's you I adore.
Dearest one, if you should leave me,
Each little dream would take wing and my life would be through.
Besame mucho, love me forever and make all my dreams come true.
Besame, besame mucho,
Como si fuera esta noche la ultima vez.
Besame, besame mucho,
Que tengo miedo tenerte y perderte depues.
Quiero tenerte muy cerca mirarme en tus ojos estar junto de ti.
Pienso que tal vez ma¤ana estarte muy lejos muy lejos de ti.
Besame, besame mucho,
Como si fuera esta noche la ultima vez.
Besame, besame mucho,
Que tengo miedo tenerte y perderte despues."
Frank Sinatra,All of Me Lyrics,2009,63.38838351,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","All of me
Why not take all of me
Can't you see
I'm no good without you
Take my lips
I wanna lose them
Take my arms
I'll never use them
Your goodbye left me with eyes that cry
How can I get along without you
You took the part that ones was my heart
So why not, why not take all of me,All of me
Come on get all of me
Can't you see
I'm just a mess without you
Take my lips
I wanna lose them
Get a piece of these arms
I'll never use them
Your goodbye left me with eyes that cry
How can I ever make it without you
You know you got the part
Used to be my heart
So why not, why not take all of me"
Frank Sinatra,Thanks for The Memories Lyrics,2006,63.27170875,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Writer(s): leo robin/ralph rainger,Thanks for the memory
Of things I can't forget
Journeys on a jet
Our wond'rous week in martinique
And vegas and roulette
How lucky I was,And thanks for the memory
Of summers by the sea
Dawn in waikiki
We had a pad in london
But we didn't stop for tea
How cozy it was,Now since our breakup I wake up
Alone on a gray morning-after
I long for the sound of your laughter
And then I see the laugh's on me,But thanks for the memory
Of every touch a thrill
I've been through the mill
I've lived a lot and learned a lot
You loved me not and still
I miss you so much,Thanks for the memory
Of how we used to jog
Even in a fog
That barbecue in malibu
Away from all the smog
How rainy it was,Thanks for the memory
Of letters I destroyed
Books that we enjoyed
Tonight the way things look
I need a book by sigmund freud
How brainy he was,Gone are those evenings on broadway
Together we'd go to a great show
But now I begin with the late show
And wish that you
Were watching, too,I know it's a fallacy
That grown men never cry
Baby, that's a lie
We had our bed of roses
But forgot that roses die
And thank you so much"
